Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
215000,0.9783207,4.3837643,416.3421367406845,416.3421367406845,510.0,1.0
216000,1.6406187,7.5755587,686.5654346148173,686.5654346148173,350.6666666666667,1.0
217000,0.92408556,2.4850302,672.1052293777466,672.1052293777466,343.0,1.0
218000,1.7805176,9.327801,992.6646633148193,992.6646633148193,314.3333333333333,1.0
219000,1.0785717,30.312836,513.3242788314819,513.3242788314819,518.5,1.0
220000,1.5640585,2.8041708,504.2267565727234,504.2267565727234,502.5,1.0
221000,1.0790759,-15.728266,513.7498009204865,513.7498009204865,517.5,1.0
222000,1.9118145,8.0079775,462.9448347091675,462.9448347091675,504.0,1.0
223000,1.0050111,-9.606286,1147.6353073120117,1147.6353073120117,181.0,1.0
224000,1.1160625,-5.488019,684.254332780838,684.254332780838,413.6666666666667,1.0
225000,1.5171689,1.3893896,501.8204231262207,501.8204231262207,500.0,1.0
226000,1.142723,9.277501,475.3240509033203,475.3240509033203,520.0,1.0
227000,1.2363032,4.199485,-91.25263476371765,-91.25263476371765,999.0,1.0
228000,1.1963956,-1.2506075,-86.03269004821777,-86.03269004821777,999.0,1.0
229000,1.4340568,1.8288347,650.5898352861404,650.5898352861404,440.6666666666667,1.0
230000,1.6233186,10.949961,506.4707989692688,506.4707989692688,514.5,1.0
231000,1.7544781,8.514356,443.3361074924469,443.3361074924469,606.5,1.0
232000,1.9290577,3.1354609,-247.2262420654297,-247.2262420654297,999.0,1.0
233000,1.1862212,35.62927,1148.9529647827148,1148.9529647827148,116.0,1.0
234000,0.9425468,4.5834236,-106.94841384887695,-106.94841384887695,999.0,1.0
235000,1.6853079,8.457592,-202.57227993011475,-202.57227993011475,999.0,1.0
236000,1.7376063,6.1452703,-140.57319831848145,-140.57319831848145,999.0,1.0
237000,1.8884022,7.331053,765.9056930541992,765.9056930541992,383.5,1.0
238000,1.7691715,11.27644,1078.7683181762695,1078.7683181762695,523.0,1.0
239000,1.1172197,-2.4437542,475.4118502140045,475.4118502140045,502.5,1.0
240000,1.6975287,8.690684,918.0872491730584,918.0872491730584,197.22222222222223,1.0
241000,0.8114341,30.498798,-153.79487800598145,-153.79487800598145,999.0,1.0
242000,1.6846045,12.617562,-94.77946996688843,-94.77946996688843,999.0,1.0
243000,0.9861281,-3.4545276,461.1491596698761,461.1491596698761,355.0,1.0
244000,1.8003243,3.9781637,1100.0935668945312,1100.0935668945312,39.0,1.0
245000,1.04695,-0.63457596,-132.1168532371521,-132.1168532371521,999.0,1.0
246000,1.879494,7.352542,-140.9653468132019,-140.9653468132019,999.0,1.0
247000,1.0546057,-15.418902,-183.06944513320923,-183.06944513320923,999.0,1.0
248000,0.9330644,-16.35267,-82.94418621063232,-82.94418621063232,999.0,1.0
249000,0.85584,-0.38481998,-141.8397560119629,-141.8397560119629,999.0,1.0
250000,1.8718915,6.269338,-210.32286405563354,-210.32286405563354,999.0,1.0
251000,1.9479905,9.970598,435.86179852485657,435.86179852485657,506.0,1.0
