Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
142000,1.7170079,-9.888409,None,None,None,1.0
143000,1.740873,-9.892395,999.0,-99.9099793434143,-99.9099793434143,1.0
144000,1.7269994,-9.88595,999.0,-99.97497951984406,-99.97497951984406,1.0
145000,1.6844857,-9.918646,None,None,None,1.0
146000,1.6846331,-9.9086,999.0,-100.27997962633769,-100.27997962633769,1.0
147000,1.7555295,-9.917532,999.0,-99.93997955322266,-99.93997955322266,1.0
148000,1.716159,-9.924116,999.0,-99.97997951507568,-99.97997951507568,1.0
149000,1.7315192,-9.907985,None,None,None,1.0
150000,1.7595706,-9.88198,None,None,None,1.0
151000,1.7479056,-9.8958645,None,None,None,1.0
152000,1.7496811,-9.894028,999.0,-99.9099793434143,-99.9099793434143,1.0
153000,1.7311646,-9.910355,999.0,-99.97497951984406,-99.97497951984406,1.0
154000,1.692741,-9.926968,None,None,None,1.0
155000,1.705113,-9.914377,999.0,-100.27997962633769,-100.27997962633769,1.0
156000,1.7074258,-9.930058,999.0,-99.93997955322266,-99.93997955322266,1.0
157000,1.7095188,-9.930389,999.0,-101.97998046875,-101.97998046875,1.0
158000,1.7145201,-9.925331,None,None,None,1.0
159000,1.7272705,-9.917999,None,None,None,1.0
160000,1.7336261,-9.908543,None,None,None,1.0
161000,1.703716,-9.916468,999.0,-99.9099793434143,-99.9099793434143,1.0
162000,1.715733,-9.913376,999.0,-100.47497975826263,-100.47497975826263,1.0
163000,1.6908926,-9.928422,None,None,None,1.0
164000,1.6486394,-9.942876,999.0,-99.94664613405864,-99.94664613405864,1.0
165000,1.6766775,-9.942429,999.0,-99.93997955322266,-99.93997955322266,1.0
166000,1.7279736,-9.945752,999.0,-99.97997951507568,-99.97997951507568,1.0
167000,1.7708865,-9.9332905,None,None,None,1.0
168000,1.821465,-9.934928,None,None,None,1.0
169000,1.7930689,-9.928642,None,None,None,1.0
170000,1.73397,-9.946995,999.0,-99.9099793434143,-99.9099793434143,1.0
171000,1.7353303,-9.942486,999.0,-99.97497951984406,-99.97497951984406,1.0
172000,1.7048786,-9.94329,None,None,None,1.0
173000,1.6301842,-9.954464,999.0,-99.94664613405864,-99.94664613405864,1.0
174000,1.6543367,-9.976307,999.0,-100.63997960090637,-100.63997960090637,1.0
175000,1.6863722,-9.974606,999.0,-99.97997951507568,-99.97997951507568,1.0
176000,1.718245,-9.993546,None,None,None,1.0
177000,1.7345384,-9.956443,None,None,None,1.0
178000,1.750973,-9.950007,None,None,None,1.0
179000,1.7299433,-9.949118,999.0,-100.90997982025146,-100.90997982025146,1.0
180000,1.730767,-9.951412,999.0,-99.97497951984406,-99.97497951984406,1.0
181000,1.6591558,-9.974691,None,None,None,1.0
182000,1.6459707,-9.97093,999.0,-100.27997962633769,-100.27997962633769,1.0
183000,1.6885706,-9.960287,999.0,-99.93997955322266,-99.93997955322266,1.0
184000,1.6907276,-9.949423,999.0,-99.97997951507568,-99.97997951507568,1.0
185000,1.671702,-9.951998,None,None,None,1.0
186000,1.689522,-9.947187,None,None,None,1.0
187000,1.6926904,-9.962674,None,None,None,1.0
188000,1.6498015,-9.95695,999.0,-99.9099793434143,-99.9099793434143,1.0
189000,1.7143934,-9.945303,999.0,-100.47497975826263,-100.47497975826263,1.0
190000,1.6953814,-9.9445915,None,None,None,1.0
191000,1.5964317,-9.945158,999.0,-99.94664613405864,-99.94664613405864,1.0
192000,1.6764575,-9.940337,999.0,-100.43997979164124,-100.43997979164124,1.0
193000,1.648391,-9.943977,999.0,-99.97997951507568,-99.97997951507568,1.0
194000,1.6755759,-9.950659,None,None,None,1.0
195000,1.7254181,-9.945265,None,None,None,1.0
196000,1.6366229,-9.982157,None,None,None,1.0
197000,1.5982543,-9.988677,999.0,-99.9099793434143,-99.9099793434143,1.0
198000,1.5769252,-9.965926,999.0,-99.97497951984406,-99.97497951984406,1.0
199000,1.5863585,-9.962839,None,None,None,1.0
200000,1.5965984,-9.953252,999.0,-99.94664613405864,-99.94664613405864,1.0
201000,1.5991453,-9.947786,999.0,-99.93997955322266,-99.93997955322266,1.0
202000,1.6454877,-9.954029,999.0,-99.97997951507568,-99.97997951507568,1.0
203000,1.6082703,-9.947418,None,None,None,1.0
204000,1.6232408,-9.93701,None,None,None,1.0
205000,1.6298434,-9.934575,None,None,None,1.0
206000,1.6009129,-9.925375,999.0,-99.9099793434143,-99.9099793434143,1.0
207000,1.6264124,-9.924278,999.0,-99.97497951984406,-99.97497951984406,1.0
208000,1.6861814,-9.939573,None,None,None,1.0
209000,1.6240596,-9.92643,999.0,-99.94664613405864,-99.94664613405864,1.0
210000,1.6800355,-9.938089,999.0,-99.93997955322266,-99.93997955322266,1.0
211000,1.7024852,-9.936407,999.0,-100.97997999191284,-100.97997999191284,1.0
212000,1.7015779,-9.93391,None,None,None,1.0
213000,1.7192758,-9.931768,None,None,None,1.0
214000,1.7214308,-9.927518,None,None,None,1.0
215000,1.7188996,-9.934923,999.0,-99.9099793434143,-99.9099793434143,1.0
216000,1.7257507,-9.936359,999.0,-99.97497951984406,-99.97497951984406,1.0
217000,1.7032887,-9.944033,None,None,None,1.0
218000,1.6808258,-9.940913,999.0,-99.94664613405864,-99.94664613405864,1.0
219000,1.6791446,-9.949025,999.0,-99.93997955322266,-99.93997955322266,1.0
220000,1.7095976,-9.949163,999.0,-99.97997951507568,-99.97997951507568,1.0
221000,1.7093415,-9.960661,None,None,None,1.0
222000,1.7346159,-9.94383,None,None,None,1.0
223000,1.6918057,-9.931303,None,None,None,1.0
224000,1.6914716,-9.949867,999.0,-99.9099793434143,-99.9099793434143,1.0
225000,1.6815798,-9.953289,999.0,-99.97497951984406,-99.97497951984406,1.0
226000,1.6627555,-9.956387,None,None,None,1.0
227000,1.6671023,-9.954295,999.0,-99.94664613405864,-99.94664613405864,1.0
228000,1.6795437,-9.95063,999.0,-99.93997955322266,-99.93997955322266,1.0
229000,1.649277,-9.959372,999.0,-99.97997951507568,-99.97997951507568,1.0
230000,1.6791917,-9.955953,None,None,None,1.0
231000,1.6658982,-9.959932,None,None,None,1.0
232000,1.6869354,-9.977556,None,None,None,1.0
233000,1.60835,-9.980219,999.0,-99.9099793434143,-99.9099793434143,1.0
234000,1.6016328,-9.991398,999.0,-99.97497951984406,-99.97497951984406,1.0
235000,1.5938605,-9.986825,None,None,None,1.0
236000,1.6142925,-9.978567,999.0,-100.27997962633769,-100.27997962633769,1.0
237000,1.6622131,-9.973099,999.0,-99.93997955322266,-99.93997955322266,1.0
238000,1.6588671,-9.961523,999.0,-99.97997951507568,-99.97997951507568,1.0
239000,1.655676,-9.971016,None,None,None,1.0
240000,1.6795826,-9.974229,None,None,None,1.0
241000,1.6574671,-9.968915,None,None,None,1.0
242000,1.6697007,-9.976596,999.0,-99.9099793434143,-99.9099793434143,1.0
243000,1.6713278,-9.968351,999.0,-99.97497951984406,-99.97497951984406,1.0
244000,1.6392556,-9.970877,None,None,None,1.0
