Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
340000,0.59026754,881.8333333333334,-0.11195343,-0.8737231172048129,-0.8737231172048129,0.0024602525,0.3351845,0.00028995366,0.19665122,0.0048328964,1.0
350000,0.6276427,780.5555555555555,-0.110370815,-0.9992000336448351,-0.9992000336448351,0.00047730046,0.4562829,0.00028965308,0.19655102,0.004827896,1.0
360000,0.6514091,999.0,-0.13079299,-0.9992000460624695,-0.9992000460624695,0.0006046478,0.49533334,0.00028935412,0.19645137,0.004822923,1.0
370000,0.66301817,999.0,-0.10891718,-0.9992000460624695,-0.9992000460624695,3.5419616e-05,0.36773664,0.00028905593,0.19635198,0.0048179636,1.0
380000,0.6406794,986.5555555555555,-0.10183547,-0.999180044978857,-0.999180044978857,4.0356204e-07,0.21750833,0.00028875377,0.19625124,0.004812937,1.0
390000,0.6067525,999.0,-0.10047628,-0.9992000460624695,-0.9992000460624695,2.2365745e-07,0.11839372,0.0002884543,0.19615142,0.0048079556,1.0
400000,0.5968309,999.0,-0.09922955,-0.9992000460624695,-0.9992000460624695,2.6398632e-07,0.1374108,0.00028815464,0.19605154,0.004802972,1.0
410000,0.68971205,865.4615384615385,-0.11913304,-0.9992000331932848,-0.9992000331932848,0.0034610888,0.44173312,0.00028785458,0.19595152,0.00479798,1.0
420000,0.7715078,922.5,-0.12447751,-0.9992000412728105,-0.9992000412728105,0.0022830786,0.60832036,0.0002875572,0.19585238,0.0047930344,1.0
430000,0.7727346,999.0,-0.12862557,-0.9992000460624695,-0.9992000460624695,5.3357567e-06,0.2302372,0.00028725725,0.19575241,0.0047880453,1.0
440000,0.7488847,911.0909090909091,-0.12188012,-0.9992000410954157,-0.9992000410954157,0.0011489559,0.19985504,0.0002869562,0.19565207,0.004783037,1.0
450000,0.7172962,950.7272727272727,-0.122830704,-0.9992000413211909,-0.9992000413211909,0.00046681688,0.30624712,0.00028666004,0.19555335,0.0047781123,1.0
460000,0.7215039,907.75,-0.115672395,-0.9992000460624695,-0.9992000460624695,1.6246778e-06,0.10733009,0.00028635847,0.19545282,0.0047730953,1.0
470000,0.64793074,999.0,-0.113610715,-0.9992000441998243,-0.9992000441998243,0.0013852124,0.17141944,0.00028605937,0.1953531,0.004768119,1.0
