Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
102000,2.0650117,-1.3386226,-139.85097444057465,-139.85097444057465,999.0,1.0
103000,2.0378172,-0.56106544,-143.15271496772766,-143.15271496772766,999.0,1.0
104000,2.054837,2.468138,-75.19245862960815,-75.19245862960815,999.0,1.0
105000,2.064929,4.415041,-70.16551089286804,-70.16551089286804,999.0,1.0
106000,1.8369607,2.004074,-67.58042287826538,-67.58042287826538,999.0,1.0
107000,1.8276701,-0.33646685,-78.42241710424423,-78.42241710424423,999.0,1.0
108000,2.0368385,2.118328,-142.1698523759842,-142.1698523759842,999.0,1.0
109000,1.8591264,3.10539,-150.99655199050903,-150.99655199050903,999.0,1.0
110000,1.589009,2.7608204,-171.32785439491272,-171.32785439491272,999.0,1.0
111000,1.6089499,5.645463,525.4075980186462,525.4075980186462,548.0,1.0
112000,1.7477657,8.111964,-20.35535502433777,-20.35535502433777,999.0,1.0
113000,1.7738762,4.9414806,-55.39172697067261,-55.39172697067261,999.0,1.0
114000,1.8624545,1.4060361,-187.0436828136444,-187.0436828136444,999.0,1.0
115000,2.0433416,-0.32465214,-171.50774812698364,-171.50774812698364,999.0,1.0
116000,2.0623438,-0.50309706,-88.94307136535645,-88.94307136535645,999.0,1.0
117000,2.0378122,-0.4301865,-173.45127129554749,-173.45127129554749,999.0,1.0
118000,2.0517664,-0.28673846,21.50047528743744,21.50047528743744,999.0,1.0
119000,2.0057576,-0.32950673,1053.2938890457153,1053.2938890457153,939.0,1.0
120000,1.9119841,-0.7763137,484.49797558784485,484.49797558784485,533.5,1.0
121000,2.0319107,-1.8661612,-221.63891220092773,-221.63891220092773,999.0,1.0
122000,2.0230846,1.0566263,999.5424208641052,999.5424208641052,971.0,1.0
123000,2.097129,-0.113116786,401.9901888370514,401.9901888370514,671.5,1.0
124000,2.0537136,-3.201904,-94.81794857978821,-94.81794857978821,999.0,1.0
125000,1.8189507,2.1743224,407.6970810890198,407.6970810890198,348.0,1.0
126000,2.0191877,7.945009,1005.4693603515625,1005.4693603515625,999.0,1.0
127000,1.9099789,3.2149105,-114.54718971252441,-114.54718971252441,999.0,1.0
128000,1.7000574,3.5043573,725.4195549488068,725.4195549488068,66.66666666666667,1.0
129000,1.9998326,0.8091455,459.3012646436691,459.3012646436691,512.5,1.0
130000,1.636335,3.0658538,-40.93938446044922,-40.93938446044922,999.0,1.0
131000,1.6906761,2.5720205,-143.7453224658966,-143.7453224658966,999.0,1.0
132000,1.7539978,2.1218555,476.5104296207428,476.5104296207428,561.0,1.0
133000,1.843196,2.3188715,792.0826516151428,792.0826516151428,317.0,1.0
134000,1.8594097,2.664977,494.05000245571136,494.05000245571136,540.5,1.0
135000,1.6983353,-0.9085863,31.86842679977417,31.86842679977417,999.0,1.0
136000,1.7473296,-1.1988125,-162.2267198562622,-162.2267198562622,999.0,1.0
137000,1.7736083,1.0783851,-190.6079559326172,-190.6079559326172,999.0,1.0
138000,1.9499843,0.2542293,401.4685480594635,401.4685480594635,500.5,1.0
139000,2.0039113,-0.41977,-159.42303562164307,-159.42303562164307,999.0,1.0
140000,1.9502968,2.6981444,-141.5093698501587,-141.5093698501587,999.0,1.0
141000,1.9652661,0.90522575,470.34810876846313,470.34810876846313,427.3333333333333,1.0
142000,1.8061379,-1.1947461,1118.4727535247803,1118.4727535247803,999.0,1.0
143000,2.0368288,-1.3487507,497.9574086666107,497.9574086666107,48.0,1.0
144000,2.036522,-0.55157,-213.9679503440857,-213.9679503440857,999.0,1.0
145000,2.0424466,-1.6984763,430.02988588809967,430.02988588809967,559.0,1.0
146000,2.0414178,3.185355,6.752052307128906,6.752052307128906,999.0,1.0
147000,1.9882823,1.4195218,-161.16029500961304,-161.16029500961304,999.0,1.0
148000,1.9913704,-0.8154806,-0.3607809543609619,-0.3607809543609619,999.0,1.0
149000,1.9239885,1.0761086,637.7611926396688,637.7611926396688,514.0,1.0
150000,1.8795704,4.50883,-31.00777578353882,-31.00777578353882,999.0,1.0
151000,2.0726383,4.823904,-136.44843554496765,-136.44843554496765,999.0,1.0
152000,1.7224283,2.931367,-109.66801571846008,-109.66801571846008,999.0,1.0
153000,1.2159401,-0.22474313,407.57161808013916,407.57161808013916,513.5,1.0
154000,1.852178,-0.5311819,78.07875061035156,78.07875061035156,999.0,1.0
155000,2.0854776,6.1949844,-203.60756635665894,-203.60756635665894,999.0,1.0
156000,1.7786839,8.420756,-125.21275806427002,-125.21275806427002,999.0,1.0
157000,1.4423876,2.929679,-138.69301080703735,-138.69301080703735,999.0,1.0
158000,1.8532131,3.8176503,501.669154047966,501.669154047966,533.0,1.0
159000,1.5745162,5.315242,-110.86134910583496,-110.86134910583496,999.0,1.0
160000,1.6611722,-2.8805008,-54.47022485733032,-54.47022485733032,999.0,1.0
161000,1.4919437,5.6663647,-42.73876404762268,-42.73876404762268,999.0,1.0
162000,1.7997631,3.1793535,628.0477961699168,628.0477961699168,343.6666666666667,1.0
163000,1.8828127,7.753967,942.0356999635696,942.0356999635696,917.0,1.0
164000,1.4197528,6.41875,-144.0853714942932,-144.0853714942932,999.0,1.0
165000,1.2930322,7.7101564,510.81588411331177,510.81588411331177,530.0,1.0
166000,1.4759717,-2.8060036,-88.60688734054565,-88.60688734054565,999.0,1.0
167000,1.5819715,-1.6758516,439.2367277145386,439.2367277145386,507.5,1.0
168000,1.7724257,-3.339888,-78.04011416435242,-78.04011416435242,999.0,1.0
169000,1.992228,3.4183054,-84.16009902954102,-84.16009902954102,999.0,1.0
170000,1.5949125,-3.2773972,-95.91302633285522,-95.91302633285522,999.0,1.0
171000,1.1767169,0.7589511,1163.7959322929382,1163.7959322929382,242.0,1.0
172000,1.4948428,-3.3746014,-153.99984693527222,-153.99984693527222,999.0,1.0
173000,1.0922966,8.590394,-102.23116731643677,-102.23116731643677,999.0,1.0
